id,name,node_type
0,AFFINITY SUTTON CAPITAL MARKETS PLC,Organisation
13,CLARION FUTURES,Organisation
40,AFFINITY SUTTON FUNDING LIMITED,Organisation
65,AFFINITY SUTTON PROFESSIONAL SERVICES LIMITED,Organisation
78,AMICUSHORIZON LIMITED,Organisation
79,AMICUSHORIZON GROUP FINANCING LIMITED,Organisation
114,A2 HOUSING GROUP LIMITED,Organisation
119,CATALYST HOUSING LIMITED,Organisation
120,CATALYST HOUSING CHARITABLE TRUST,Organisation
152,CATALYST HOUSING GROUP LIMITED,Organisation
153,FAMILY MOSAIC HOUSING DEVELOPMENT COMPANY LIMITED,Organisation
180,AFFINITY SUTTON INVESTMENTS LIMITED,Organisation
189,AFFINITY SUTTON REPAIRS LIMITED,Organisation
2,ROD AINSWORTH,Officer
3,CLARE MILLER,Officer
4,MARK WYATT WASHER,Officer
5,ROD AINSWORTH,Officer
6,JACK BARGHOLZ,Officer
7,JACK BARGHOLZ,Officer
8,MATTHEW JOHN COOPER,Officer
9,CLARE MILLER,Officer
10,JANICE MURRAY,Officer
11,BOB VANDERSLUIS,Officer
12,LOUISE HYDE,Officer
13,GARETH FRANCIS,Officer
15,CLARE MILLER,Officer
16,JOYCE ELAINE BATTEN,Officer
17,PATRICK JOHN BERRY,Officer
18,PETER JOHN BERRY,Officer
19,ROBERT JAMES DINWIDDY,Officer
20,ALAN FORBES,Officer
21,DAVID SIMON FORDHAM,Officer
22,PETER TIMOTHY FORTUNE,Officer
23,NEIL GOULDEN,Officer
24,MICHAEL CHARLES LEONARD HERRING,Officer
25,NEIL BRYDEN MCCALL,Officer
26,SIMON ANDREW NEVILLE,Officer
27,NICHOLAS STANDIGE PRESTON,Officer
28,DAVID EVERARD SHRIMPTON,Officer
29,RICHARD MARTIN TINHAM,Officer
30,ROBERT WILLIAM VANDERSLUIS,Officer
31,MARK WYATT WASHER,Officer
32,NICHOLAS GWYN JONES,Officer
33,DELILAH HESLING,Officer
34,NEIL GOULDEN,Officer
35,LISA SUZANNE GAMBLE,Officer
36,USHA SUNDARAM,Officer
37,SUSAN KILLEN,Officer
38,DAVID JOHN BALL,Officer
39,PATRICK JOHN HUGHES,Officer
40,LOUISE HYDE,Officer
42,RHODERIC RICHARD AINSWORTH,Officer
43,ALNERY INCORPORATIONS LIMITED,Organisation as Officer
44,ALI JOHNSON,Officer
45,CLARE MILLER,Officer
46,MARK WYATT WASHER,Officer
47,ALNERY INCORPORATIONS LIMITED,Organisation as Officer
48,ALNERY INCORPORATIONS LIMITED,Organisation as Officer
49,ADRIAN BELL,Officer
50,PETER JOHN BERRY,Officer
51,ROGER JOHN LESLIE BROCKLEHURST,Officer
52,ROBERT LEWIS DEAN,Officer
53,KEITH PHILIP EXFORD,Officer
54,NEIL BRYDEN MCCALL,Officer
55,ARUNA ANAND MEHTA,Officer
56,NICHOLAS STANDIGE PRESTON,Officer
57,DAVID EVERARD SHRIMPTON,Officer
58,MARK WYATT WASHER,Officer
59,SIMON ANDREW NEVILLE,Officer
60,NICHOLAS GWYN JONES,Officer
61,COLIN LINDSAY STURGEON,Officer
